city,number_of_locations,number_of_stops,latitude,longitude
west warwick,347,609,41.6976322,-71.5157298
west warwick west warwick,1,1,41.7135752,-71.5011722
west. warwick,1,1,41.6880235,-71.5022074
westerley,1,1,41.3913674,-71.8292889
westerly,553,931,41.3637818,-71.8045039
westport,12,15,41.5858639,-71.0857171
westwarwick,1,4,41.7262987,-71.5264720
wickford,2,2,41.5756237,-71.4663809
wonnsocket,2,2,42.0099776,-71.5045128
wood river junction,6,121,41.4474698,-71.6995113
woon,1,1,41.9974855,-71.5142183
woonsocket,490,1165,42.0008790,-71.5004028
woonsockett,29,29,41.9979318,-71.5004428
woosocket,1,1,41.9967110,-71.4834680
wst warwick,1,1,41.7299177,-71.5004815
