feature,coefficient,abs_coefficient
"cat__display_name_300, ""name""=>""Elmwood Street"", 02760, TIGER extrapolate/snap",-4.9773338164335446,4.9773338164335446
"cat__display_name_2, George Street, Pawtucket, Providence County, Rhode Island, 02860, United States",-4.964706581122178,4.964706581122178
"cat__display_name_610, Waterman Avenue, Six Corners, East Providence, Providence County, Rhode Island, 02914, United States",-4.914406016865207,4.914406016865207
"cat__display_name_27, Island Avenue, Phillipsdale, Rumford, East Providence, Providence County, Rhode Island, 02916, United States",-4.878360881017197,4.878360881017197
"cat__display_name_The Nest, 272, Carpenter Street, Federal Hill, Olneyville, Providence, Providence County, Rhode Island, 02909, United States",-4.857519204519772,4.857519204519772
"cat__display_name_8, Canary Court, River Farms, West Warwick, Kent County, Rhode Island, 02893, United States",-4.845018746677172,4.845018746677172
"cat__display_name_Barrington Town Hall/Nayatt Hall, 283, County Road, Barrington, Bristol County, Rhode Island, 02806, United States",-4.797592001587895,4.797592001587895
cat__day_of_week_0,4.79299704112149,4.79299704112149
"cat__display_name_29, Beech Road, Narragansett, South County, Rhode Island, 02882, United States",-4.7909610889187375,4.7909610889187375
"cat__display_name_9, New London Avenue, Centerville, Crompton, West Warwick, Kent County, Rhode Island, 02893, United States",-4.789362511024296,4.789362511024296
"cat__display_name_400, Newport Avenue, Pawtucket, Providence County, Rhode Island, 02861, United States",-4.787347954655189,4.787347954655189
"cat__display_name_St. Elizabeth's Episcopal Church of Rhode Island, 63, Canonchet Road, Hopkinton, South County, Rhode Island, 02832, United States",-4.734819159228959,4.734819159228959
"cat__display_name_568, Knotty Oak Road, Anthony, Coventry, Kent County, Rhode Island, 02816, United States",-4.724118440862297,4.724118440862297
"cat__display_name_42, Magnolia Lane, Coventry, Kent County, Rhode Island, 02816, United States",-4.715740082653508,4.715740082653508
"cat__display_name_501, Bellevue Avenue, Newport, Newport County, Rhode Island, 02840, United States",-4.701612531146954,4.701612531146954
"cat__display_name_160, Foster Center Road, Simmons Corner, Foster, Providence County, Rhode Island, 02825, United States",-4.699986308315183,4.699986308315183
"cat__display_name_9, Sea Grass Way, North Kingstown, South County, Rhode Island, 02852, United States",-4.664998761674528,4.664998761674528
"cat__display_name_12, Roy Avenue, Middletown, Newport County, Rhode Island, 02842, United States",-4.651567759779673,4.651567759779673
"cat__display_name_2, Stafford Court, Cranston, Providence County, Rhode Island, 02920, United States",-4.650976314121455,4.650976314121455
"cat__display_name_WebsterBank, 1215, Park Avenue, Cranston, Providence County, Rhode Island, 02910, United States",-4.647812239867486,4.647812239867486
"cat__display_name_629, Killingly Street, Johnston, Providence County, Rhode Island, 02919, United States",4.627561876269401,4.627561876269401
"cat__display_name_47, Canonchet Way, Narragansett Beach, Narragansett Pier, Narragansett, South County, Rhode Island, 02882, United States",-4.624547422910067,4.624547422910067
"cat__display_name_649, County Road, Peck Corner, Barrington, Bristol County, Rhode Island, 02806, United States",-4.622280761108151,4.622280761108151
"cat__display_name_Salve Regina University, 100, Ochre Point Avenue, Newport, Newport County, Rhode Island, 02840, United States",-4.5906999671253805,4.5906999671253805
"cat__display_name_1218, North Main Road, Jamestown, Newport County, Rhode Island, 02835, United States",-4.552853136390538,4.552853136390538
"cat__display_name_26, Breakneck Hill Road, Lincoln, Providence County, Rhode Island, 02865, United States",4.54180698531207,4.54180698531207
cat__driver_Michael Williams,4.527616763692777,4.527616763692777
"cat__display_name_JT Connell Highway, Newport, Newport County, Rhode Island, 02840, United States",-4.509217595732866,4.509217595732866
"cat__display_name_30, Kossuth Street, Pawtucket, Providence County, Rhode Island, 02860, United States",-4.504193723642983,4.504193723642983
cat__driver_Joel,4.438972942359209,4.438972942359209
"cat__display_name_12, Callendar Avenue, Newport, Newport County, Rhode Island, 02840, United States",-4.425100943434798,4.425100943434798
"cat__display_name_34, Wood Street, Washington, Tiogue, Coventry, Kent County, Rhode Island, 02816, United States",-4.362398093354991,4.362398093354991
"cat__display_name_2065, Warwick Avenue, Warwick, Kent County, Rhode Island, 02889, United States",-4.353151418425723,4.353151418425723
